,file_name,jde
0,VTHE_0.875-9X2.500_GR5.par,105990
1,VTHE_0.750-10X1.750_GR5.PAR,106007
2,VTHE_0.875-9X3.000_GR5.par,106012
3,VTCY_0.750-10X4.500.par,107186
4,VTHE_0.750-10X4.000_SS.par,107190
5,VP_0.500-13X0.500_SS.PAR,107191
6,VTCY_0.500-13X1.750.par,107196
8,VTHE_0.625-11X4.000_SS.par,107200
9,VTHE_M10-1.50X050_SS.par,107229
10,VTFR_M08-1.25X030.par,107233
11,VTCY_M05-0.80X060.PAR,107234
12,VTCYE_0.375-16X0.500X1.250_SS.PAR,107390
13,VTHE_M16-2.00X030_SS.par,107492
14,VTHE_M14-2.00X035_SS.par,107493
15,VTFR_0.500-13X1.250_SS.par,107559
16,VP_0.625-11X0.500_SS.PAR,107574
17,VTFR_0.250-20X1.000_SS.par,107576
18,VTFR_M06-1.00X040.par,107678
19,VTHE_M16-2.00X035_SS.par,107681
20,VTHE_M16-2.00X130_CLS8.8.par,107690
21,VTHE_0.375-16X3.000_SS.par,107691
22,VTCY_0.375-16X2.250.par,107697
23,VTCY_0.190-32X1.000.par,107698
24,VTHE_M10-1.50X016_CLS8.8.par,107730
25,VTFR_M10-1.50X050.par,107731
26,VP_M10-1.50X012.PAR,107732
27,VTCYE_0.313-18X0.375X1.500_SS.PAR,107748
28,VTCYE_0.500-13X0.750X0.625.PAR,107760
29,VTFR_0.375-16X2.750.par,107767
30,VTFR_0.375-16X5.000.par,107777
31,VTFR_M06-1.00X080.par,107778
32,VTHE_M16-2.00X070_CLS8.8.par,107781
33,VTFR_M06-1.00X120.par,107782
34,VTCY_0.375-16X0.500_SS.par,108006
35,VTFR_0.375-16X1.500_SS.par,108007
36,VTHE_0.500-13X7.500_FULL_GR5.par,108070
37,VTCY_M10-1.50X130.par,108073
38,VTCYE_M10-1.50X012X030.PAR,108079
39,VTCYE_M10-1.50X012X030_SS.PAR,108080
40,VTCYE_M08-1.25X010X040.PAR,108081
41,VTCYE_M08-1.25X012X040_SS.PAR,108082
42,VTCYE_M12-1.75X016X030.PAR,108083
43,VTCYE_M12-1.75X016X030_SS.PAR,108084
44,VTHE_M16-2.00X025_CLS8.8.par,108101
45,VTFR_M10-1.50X035.par,108467
46,VTFR_M10-1.50X070.par,108468
47,VTFR_M10-1.50X090.par,108469
48,VTFR_M10-1.50X120.par,108470
49,VTHE_M12-1.75X200_FULL_CLS8.8.par,108473
50,VTHE_M20-2.50X090_CLS8.8.par,108475
51,VTHE_M24-3.00X060_CLS8.8.par,108682
52,VTFR_M05-0.80X016.par,108718
53,108726.par,108726
54,VTFR_0.500-13X0.500.par,108729
55,VTHE_0.313-24X1.000_SS.par,108851
56,VTFR_0.313-18X2.000.par,108896
57,VTHE_M18-2.50X050_CLS8.8.par,109109
58,VTHE_M18-2.50X080_CLS8.8.par,109110
59,VTFR_M08-1.25X080.par,109211
60,VTHE_M12-1.50X038_CLS8.8.par,112927
61,VTFR_0.500-13X1.750.par,113472
62,VTHE_M20-2.50X190_CLS8.8.par,113474
63,VTCY_M10-1.50X045.par,113497
64,VTHE_M10-1.50X015_CLS8.8.par,113535
65,VTHE_M16-2.00X075_CLS8.8.par,113538
66,VTFR_M10-1.50X140.par,113540
67,VTFR_M12-1.75X040.par,113541
68,VP_M10-1.50X016.PAR,113542
69,VTHE_M16-2.00X110_CLS8.8.par,113602
70,VTHE_M16-2.00X180_CLS8.8.par,113603
71,VTCYE_M10-1.50X012X020.PAR,113690
72,VTHE_0.625-11X9.000_GR5.par,113694
73,VTHE_0.250-20X3.250_GR5.par,113702
74,VTHE_0.500-13X3.750_GR5.par,113703
75,VP_M08-1.25X020.PAR,113873
76,VP_M12-1.75X025.PAR,113877
77,VP_M12-1.75X030.PAR,113880
78,VTHE_1.000-14X1.750_GR8.par,113906
79,VTHE_0.250-20X0.625_GR5.par,113930
80,VP_M16-2.00X020.PAR,113967
81,VP_M16-2.00X016.PAR,113968
82,VTFR_M12-1.75X045.par,114076
