,ITEMNO,SEARCHTEXT,TYPECONVERSION,ITEMCONVERTI,SEARCHTEXT_1,MATERIAL_1,MATERIAL_2,Unnamed: 0,material_jde
11,24103310,[SS.304],4,185585,[SS.304],SS304,SS304,41707.0,[SS.304]
23,107190,[SS.304],4,185572,[SS.304],SS304,SS304,41681.0,[SS.304]
29,107191,[SS.304],4,185790,[SS.304],SS304,SS304,43532.0,[SS.304]
41,107200,[SS.304],4,118588,[SS.304],SS304,SS304,41617.0,[SS.304]
107,108007,[SS.304],4,185738,[SS.304],SS304,SS304,43269.0,[SS.304]
225,108726,ZINC PLATED,2,123481,ZINC PLATED,ZINC,ZINC,86884.0,ZINC PLATED
523,107559,[SS.304],4,185748,[SS.304],SS304,SS304,43291.0,[SS.304]
541,107574,[SS.304],4,185792,[SS.304],SS304,SS304,43542.0,[SS.304]
547,107576,[SS.304],4,24104823,[SS.304],SS304,SS304,43365.0,[SS.304]
577,107691,[SS.304],4,118418,[SS.304],SS304,SS304,41517.0,[SS.304]
681,117634,[SS.304],4,24104895,[SS.304],SS304,SS304,42119.0,[SS.304]
687,117651,[SS.304],4,118476,[SS.304],SS304,SS304,42103.0,[SS.304]
693,117652,[SS.304],4,172606,[SS.304],SS304,SS304,42126.0,[SS.304]
705,117654,[SS.304],4,185557,[SS.304],SS304,SS304,41555.0,[SS.304]
711,117655,[SS.304],4,118479,[SS.304],SS304,SS304,41808.0,[SS.304]
717,117656,[SS.304],4,119172,[SS.304],SS304,SS304,41822.0,[SS.304]
723,117659,[SS.304],4,24104830,[SS.304],SS304,SS304,43341.0,[SS.304]
773,116850,ZINC PLATED,2,181731,ZINC PLATED,ZINC,ZINC,77955.0,ZINC PLATED
817,117463,[SS.304],4,24104866,[SS.304],SS304,SS304,41503.0,[SS.304]
823,117464,[SS.304],4,185619,[SS.304],SS304,SS304,41968.0,[SS.304]
847,117533,[SS.304],4,185779,[SS.304],SS304,SS304,43412.0,[SS.304]
859,117586,[SS.304],4,118121,[SS.304],SS304,SS304,43557.0,[SS.304]
871,117588,[SS.304],4,24104862,[SS.304],SS304,SS304,43572.0,[SS.304]
877,117589,[SS.304],4,118846,[SS.304],SS304,SS304,41803.0,[SS.304]
883,117590,[SS.304],4,185701,[SS.304],SS304,SS304,42992.0,[SS.304]
889,117591,[SS.304],4,118590,[SS.304],SS304,SS304,41623.0,[SS.304]
895,117592,[SS.304],4,118589,[SS.304],SS304,SS304,41665.0,[SS.304]
901,117609,[SS.304],4,185560,[SS.304],SS304,SS304,41589.0,[SS.304]
919,117613,[SS.304],4,24106028,[SS.304],SS304,SS304,41871.0,[SS.304]
925,117614,[SS.304],4,24104712,[SS.304],SS304,SS304,43565.0,[SS.304]
931,117615,[SS.304],4,185639,[SS.304],SS304,SS304,42100.0,[SS.304]
937,117616,[SS.304],4,185777,[SS.304],SS304,SS304,43404.0,[SS.304]
943,117617,[SS.304],4,118477,[SS.304],SS304,SS304,43406.0,[SS.304]
961,117620,[SS.304],4,24104865,[SS.304],SS304,SS304,41652.0,[SS.304]
967,117621,[SS.304],4,118570,[SS.304],SS304,SS304,41811.0,[SS.304]
973,117622,[SS.304],4,118296,[SS.304],SS304,SS304,41859.0,[SS.304]
979,117623,[SS.304],4,24104892,[SS.304],SS304,SS304,41791.0,[SS.304]
985,117624,[SS.304],4,24104792,[SS.304],SS304,SS304,43049.0,[SS.304]
991,117625,[SS.304],4,185794,[SS.304],SS304,SS304,43553.0,[SS.304]
997,117626,[SS.304],4,117113,[SS.304],SS304,SS304,42842.0,[SS.304]
1003,117627,[SS.304],4,118178,[SS.304],SS304,SS304,41658.0,[SS.304]
1009,117628,[SS.304],4,117619,[SS.304],SS304,SS304,41579.0,[SS.304]
1015,117629,[SS.304],4,185742,[SS.304],SS304,SS304,43276.0,[SS.304]
1021,117630,[SS.304],4,24104771,[SS.304],SS304,SS304,41519.0,[SS.304]
1027,117631,[SS.304],4,118418,[SS.304],SS304,SS304,41517.0,[SS.304]
1033,117632,[SS.304],4,24104869,[SS.304],SS304,SS304,41491.0,[SS.304]
1039,117633,[SS.304],4,24104772,[SS.304],SS304,SS304,41515.0,[SS.304]
1055,118185,[SS.304],4,24104838,[SS.304],SS304,SS304,42298.0,[SS.304]
1079,118248,[SS.304],4,118247,[SS.304],SS304,SS304,43274.0,[SS.304]
1113,118571,[SS.304],4,24104921,[SS.304],SS304,SS304,41780.0,[SS.304]
1149,118366,[SS.304],4,118367,[SS.304],SS304,SS304,42116.0,[SS.304]
1161,118372,[SS.304],4,118374,[SS.304],SS304,SS304,41718.0,[SS.304]
1249,117660,[SS.304],4,24104796,[SS.304],SS304,SS304,43046.0,[SS.304]
1255,117661,[SS.304],4,119591,[SS.304],SS304,SS304,42946.0,[SS.304]
1261,117662,[SS.304],4,24107418,[SS.304],SS304,SS304,42939.0,[SS.304]
1261,117662,[SS.304],4,24107418,[SS.304],SS304,SS304,42940.0,[SS.304]
1267,117663,[SS.304],4,118484,[SS.304],SS304,SS304,41591.0,[SS.304]
1273,117664,[SS.304],4,24104775,[SS.304],SS304,SS304,41877.0,[SS.304]
1279,117665,[SS.304],4,185566,[SS.304],SS304,SS304,41626.0,[SS.304]
1285,117666,[SS.304],4,107681,[SS.304],SS304,SS304,41640.0,[SS.304]
1291,117667,[SS.304],4,118420,[SS.304],SS304,SS304,43522.0,[SS.304]
1297,117668,[SS.304],4,24105896,[SS.304],SS304,SS304,101259.0,[SS.304]
1303,117669,[SS.304],4,118414,[SS.304],SS304,SS304,43358.0,[SS.304]
1309,117670,[SS.304],4,118416,[SS.304],SS304,SS304,41636.0,[SS.304]
1315,117671,[SS.304],4,120888,[SS.304],SS304,SS304,43013.0,[SS.304]
1319,117718,ZINC PLATED,2,117720,ZINC PLATED,ZINC,ZINC,42562.0,ZINC PLATED
1331,117751,ZINC PLATED,2,117753,ZINC PLATED,ZINC,ZINC,42563.0,ZINC PLATED
1369,117925,[SS.304],4,119592,[SS.304],SS304,SS304,43344.0,[SS.304]
1393,117986,[SS.304],4,24104793,[SS.304],SS304,SS304,43054.0,[SS.304]
1423,118092,[SS.304],4,119751,[SS.304],SS304,SS304,41547.0,[SS.304]
1441,118176,[SS.304],4,118177,[SS.304],SS304,SS304,41464.0,[SS.304]
1479,122990,[SS.304],4,185659,[SS.304],SS304,SS304,42457.0,[SS.304]
1491,122992,[SS.304],4,209564,[SS.304],SS304,SS304,43380.0,[SS.304]
1519,118596,[SS.304],4,185817,[SS.304],SS304,SS304,77950.0,[SS.304]
1531,118620,[SS.304],4,185707,[SS.304],SS304,SS304,43015.0,[SS.304]
1537,118621,[SS.304],4,24104848,[SS.304],SS304,SS304,101264.0,[SS.304]
1555,118796,[SS.304],4,118797,[SS.304],SS304,SS304,42847.0,[SS.304]
1609,118933,[SS.304],4,24104781,[SS.304],SS304,SS304,41749.0,[SS.304]
1627,119168,[SS.304],4,119167,[SS.304],SS304,SS304,42849.0,[SS.304]
1645,119176,[SS.304],4,185546,[SS.304],SS304,SS304,41479.0,[SS.304]
