,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1,MATERIAL_1,MATERIAL_2
9,24103310                 ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 2.000""            ",[SS.304],P,2,24104018                 ,HEX.HD.CAP SCREW              ,M20-2.50 X 50MM               ,[SS.304],B,SS304,SS304
11,24103310                 ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 2.000""            ",[SS.304],P,4,185585                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 50MM               ,[SS.304],B,SS304,SS304
13,24103310                 ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 2.000""            ",[SS.304],P,6,158785                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 50MM               ,[SS.304],P,SS304,SS304
21,107190                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 4.000""            ",[SS.304],P,2,24104656                 ,HEX.HD.CAP SCREW              ,M20-2.50 X 100MM              ,[SS.304],B,SS304,SS304
23,107190                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 4.000""            ",[SS.304],P,4,185572                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 100MM              ,[SS.304],B,SS304,SS304
27,107191                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/2-13UNC X 0.500""            ",[SS.304],P,2,24104950                 ,HEX.SOC.SET SCREW CUP POINT   ,M12-1.75 X 12MM               ,[SS.304],P,SS304,SS304
29,107191                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/2-13UNC X 0.500""            ",[SS.304],P,4,185790                   ,HEX.SOC.SET SCREW CUP POINT   ,M12-1.75 X 12MM               ,[SS.304],B,SS304,SS304
39,107200                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 4.000""            ",[SS.304],B,2,24104518                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 100MM              ,[SS.304],P,SS304,SS304
41,107200                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 4.000""            ",[SS.304],B,4,118588                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 100MM              ,[SS.304],P,SS304,SS304
57,107767                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.750""            ",ZINC PLATED,B,2,108468                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 70MM               ,ZINC PLATED,P,ZINC,ZINC
59,107767                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.750""            ",ZINC PLATED,B,4,185744                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 70MM               ,ZINC PLATED,B,ZINC,ZINC
105,108007                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.500""            ",[SS.304],B,2,108467                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 35MM               ,[SS.304],B,SS304,SS304
107,108007                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.500""            ",[SS.304],B,4,185738                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 35MM               ,[SS.304],B,SS304,SS304
225,108726                   ,SQ.HD.SET SCREW CUP POINT     ,"5/8-11UNC X 3.500""            ",ZINC PLATED,P,2,123481                   ,SQ.HD.SET SCREW CUP POINT     ,M16-2.00 X 90MM               ,ZINC PLATED,P,ZINC,ZINC
227,108726                   ,SQ.HD.SET SCREW CUP POINT     ,"5/8-11UNC X 3.500""            ",ZINC PLATED,P,4,185826                   ,SQ.HD.SET SCREW CUP POINT     ,M16-2.00 X 90MM               ,ZINC PLATED,B,ZINC,ZINC
237,108851                   ,HEX.HD.CAP SCREW              ,"5/16-24UNF X 1.000""           ",[SS.304],B,2,142924                   ,HEX.HD.CAP SCREW              ,M8-1.00 X 25MM                ,[SS.304],P,SS304,SS304
521,107559                   ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 1.250""            ",[SS.304],P,2,24104671                 ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 30MM               ,[SS.304],P,SS304,SS304
523,107559                   ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 1.250""            ",[SS.304],P,4,185748                   ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 30MM               ,[SS.304],B,SS304,SS304
527,107563                   ,THREADED ROD-LEFT THD.        ,3/4-10UNC                     ,[SS.304],P,2,24104969                 ,THREADED ROD-LEFT THD.        ,M20-2.50                      ,[SS.304],P,SS304,SS304
541,107574                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/8-11UNC X 0.500""            ",[SS.304],B,4,185792                   ,HEX.SOC.SET SCREW CUP POINT   ,M16-2.00 X 12MM               ,[SS.304],B,SS304,SS304
545,107576                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 1.000""            ",[SS.304],B,2,24105021                 ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 25MM                ,[SS.304],B,SS304,SS304
547,107576                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 1.000""            ",[SS.304],B,4,24104823                 ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 25MM                ,[SS.304],P,SS304,SS304
575,107691                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 3.000""            ",[SS.304],B,2,117876                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 75MM               ,[SS.304],P,SS304,SS304
577,107691                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 3.000""            ",[SS.304],B,4,118418                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 75MM               ,[SS.304],P,SS304,SS304
679,117634                   ,HEX.JAM NUT                   ,1-8UNC                        ,[SS.304],P,2,24104703                 ,HEX.JAM NUT                   ,M24-3.00                      ,[SS.304],P,SS304,SS304
681,117634                   ,HEX.JAM NUT                   ,1-8UNC                        ,[SS.304],P,4,24104895                 ,HEX.JAM NUT                   ,M24-3.00                      ,[SS.304],P,SS304,SS304
685,117651                   ,HEX.JAM NUT                   ,1/2-13UNC                     ,[SS.304],P,2,24104700                 ,HEX.JAM NUT                   ,M12-1.75                      ,[SS.304],P,SS304,SS304
687,117651                   ,HEX.JAM NUT                   ,1/2-13UNC                     ,[SS.304],P,4,118476                   ,HEX.JAM NUT                   ,M12-1.75                      ,[SS.304],P,SS304,SS304
691,117652                   ,HEX.JAM NUT                   ,5/16-18UNC                    ,[SS.304],P,2,24104526                 ,HEX.JAM NUT                   ,M8-1.25                       ,[SS.304],P,SS304,SS304
693,117652                   ,HEX.JAM NUT                   ,5/16-18UNC                    ,[SS.304],P,4,172606                   ,HEX.JAM NUT                   ,M8-1.25                       ,[SS.304],P,SS304,SS304
703,117654                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 0.750""            ",[SS.304],P,2,24104509                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 20MM               ,[SS.304],P,SS304,SS304
705,117654                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 0.750""            ",[SS.304],P,4,185557                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 20MM               ,[SS.304],B,SS304,SS304
709,117655                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.750""            ",[SS.304],P,2,24101450                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 70MM                ,[SS.304],P,SS304,SS304
711,117655                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.750""            ",[SS.304],P,4,118479                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 70MM                ,[SS.304],P,SS304,SS304
713,117655                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.750""            ",[SS.304],P,6,182667                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 70MM                ,[SS.304],P,SS304,SS304
715,117656                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 4.000""           ",[SS.304],P,2,116363                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 100MM               ,[SS.304],P,SS304,SS304
717,117656                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 4.000""           ",[SS.304],P,4,119172                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 100MM               ,[SS.304],P,SS304,SS304
721,117659                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 0.750""            ",[SS.304],B,2,24104731                 ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 20MM                ,[SS.304],P,SS304,SS304
723,117659                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 0.750""            ",[SS.304],B,4,24104830                 ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 20MM                ,[SS.304],P,SS304,SS304
727,117660                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 2.500""            ",[SS.304],P,2,24101855                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 60MM                ,[SS.304],P,SS304,SS304
773,116850                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"5/16-18UNC X 1.000""           ",ZINC PLATED,B,2,181731                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M8-1.25 X 25MM                ,ZINC PLATED,P,ZINC,ZINC
779,116968                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 1.000""            ",ZINC PLATED,B,2,24101191                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 25MM                ,ZINC PLATED,P,ZINC,ZINC
781,116968                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 1.000""            ",ZINC PLATED,B,4,24104783                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 25MM                ,ZINC PLATED,P,ZINC,ZINC
815,117463                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 1.750""            ",[SS.304],P,2,24104718                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 45MM               ,[SS.304],B,SS304,SS304
817,117463                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 1.750""            ",[SS.304],P,4,24104866                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 45MM               ,[SS.304],P,SS304,SS304
821,117464                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 1.750""            ",[SS.304],P,2,185620                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 45MM               ,[SS.304],B,SS304,SS304
823,117464                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 1.750""            ",[SS.304],P,4,185619                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 45MM               ,[SS.304],B,SS304,SS304
839,117531                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.750""            ",ZINC PLATED,P,2,24101190                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,ZINC PLATED,P,ZINC,ZINC
841,117531                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.750""            ",ZINC PLATED,P,4,24104782                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,ZINC PLATED,P,ZINC,ZINC
843,117531                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.750""            ",ZINC PLATED,P,6,182658                   ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,ZINC PLATED,P,ZINC,ZINC
845,117533                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 2.000""           ",[SS.304],P,2,185780                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 50MM                ,[SS.304],B,SS304,SS304
847,117533                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 2.000""           ",[SS.304],P,4,185779                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 50MM                ,[SS.304],B,SS304,SS304
857,117586                   ,HEX.SOC.SET SCREW CUP POINT   ,"#10-24UNC X 0.750""            ",[SS.304],P,2,24104626                 ,HEX.SOC.SET SCREW CUP POINT   ,M5-0.80 X 20MM                ,[SS.304],P,SS304,SS304
859,117586                   ,HEX.SOC.SET SCREW CUP POINT   ,"#10-24UNC X 0.750""            ",[SS.304],P,4,118121                   ,HEX.SOC.SET SCREW CUP POINT   ,M5-0.80 X 20MM                ,[SS.304],P,SS304,SS304
869,117588                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 0.750""            ",[SS.304],P,2,24101853                 ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 20MM                ,[SS.304],P,SS304,SS304
871,117588                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 0.750""            ",[SS.304],P,4,24104862                 ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 20MM                ,[SS.304],P,SS304,SS304
875,117589                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.250""            ",[SS.304],P,2,118845                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 60MM                ,[SS.304],P,SS304,SS304
877,117589                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.250""            ",[SS.304],P,4,118846                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 60MM                ,[SS.304],P,SS304,SS304
879,117589                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.250""            ",[SS.304],P,6,182666                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 60MM                ,[SS.304],P,SS304,SS304
881,117590                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 1.250""            ",[SS.304],B,2,185702                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 30MM                ,[SS.304],B,SS304,SS304
883,117590                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 1.250""            ",[SS.304],B,4,185701                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 30MM                ,[SS.304],B,SS304,SS304
887,117591                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 4.500""            ",[SS.304],B,2,24101753                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 120MM              ,[SS.304],P,SS304,SS304
889,117591                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 4.500""            ",[SS.304],B,4,118590                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 120MM              ,[SS.304],P,SS304,SS304
891,117591                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 4.500""            ",[SS.304],B,6,182652                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 120MM              ,[SS.304],P,SS304,SS304
893,117592                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 3.500""            ",[SS.304],P,2,24104519                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 90MM               ,[SS.304],P,SS304,SS304
895,117592                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 3.500""            ",[SS.304],P,4,118589                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 90MM               ,[SS.304],P,SS304,SS304
899,117609                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 3.000""            ",[SS.304],P,2,24104513                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 75MM               ,[SS.304],B,SS304,SS304
901,117609                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 3.000""            ",[SS.304],P,4,185560                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 75MM               ,[SS.304],B,SS304,SS304
917,117613                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.750""           ",[SS.304],P,2,24101205                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 70MM                ,[SS.304],P,SS304,SS304
919,117613                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.750""           ",[SS.304],P,4,24106028                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 70MM                ,[SS.304],P,SS304,SS304
921,117613                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.750""           ",[SS.304],P,6,182676                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 70MM                ,[SS.304],P,SS304,SS304
925,117614                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 0.375""            ",[SS.304],P,4,24104712                 ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 10MM                ,[SS.304],P,SS304,SS304
929,117615                   ,HEX.JAM NUT                   ,1/2-20UNF                     ,[SS.304],P,2,300293                   ,HEX.JAM NUT                   ,M12-1.25                      ,[SS.304],P,SS304,SS304
931,117615                   ,HEX.JAM NUT                   ,1/2-20UNF                     ,[SS.304],P,4,185639                   ,HEX.JAM NUT                   ,M12-1.25                      ,[SS.304],B,SS304,SS304
933,117615                   ,HEX.JAM NUT                   ,1/2-20UNF                     ,[SS.304],P,6,185311                   ,HEX.JAM NUT                   ,M12-1.25                      ,[SS.304],P,SS304,SS304
935,117616                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.250""           ",[SS.304],P,2,107233                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 30MM                ,[SS.304],P,SS304,SS304
