,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1
3,24101008                 ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.250""           ",ZINC PLATED [A574]            ,B,2,107233                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 30MM                ,ZINC PLATED [CL8.8]           ,P
4,24101008                 ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.250""           ",ZINC PLATED [A574]            ,B,3,117616                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.250""           ",[SS.304]                      ,P
5,24101008                 ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.250""           ",ZINC PLATED [A574]            ,B,4,185777                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 30MM                ,[SS.304]                      ,B
9,24103310                 ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 2.000""            ",[SS.304]                      ,P,2,24104018                 ,HEX.HD.CAP SCREW              ,M20-2.50 X 50MM               ,ZINC PLATED [CL8.8]           ,B
11,24103310                 ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 2.000""            ",[SS.304]                      ,P,4,185585                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 50MM               ,[SS.304]                      ,B
13,24103310                 ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 2.000""            ",[SS.304]                      ,P,6,158785                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 50MM               ,[SS.316]                      ,P
21,107190                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 4.000""            ",[SS.304]                      ,P,2,24104656                 ,HEX.HD.CAP SCREW              ,M20-2.50 X 100MM              ,ZINC PLATED [CL8.8]           ,B
23,107190                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 4.000""            ",[SS.304]                      ,P,4,185572                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 100MM              ,[SS.304]                      ,B
27,107191                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/2-13UNC X 0.500""            ",[SS.304]                      ,P,2,24104950                 ,HEX.SOC.SET SCREW CUP POINT   ,M12-1.75 X 12MM               ,ZINC PLATED [CL8.8]           ,P
29,107191                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/2-13UNC X 0.500""            ",[SS.304]                      ,P,4,185790                   ,HEX.SOC.SET SCREW CUP POINT   ,M12-1.75 X 12MM               ,[SS.304]                      ,B
33,107196                   ,HEX.SOC.CAP SCREW             ,"1/2-13UNC X 1.750""            ",ZINC PLATED [A574]            ,B,2,225165                   ,HEX.SOC.CAP SCREW             ,M12-1.75 X 45MM               ,ZINC PLATED [CL8.8]           ,B
39,107200                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 4.000""            ",[SS.304]                      ,B,2,24104518                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 100MM              ,ZINC PLATED [CL8.8]           ,P
41,107200                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 4.000""            ",[SS.304]                      ,B,4,118588                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 100MM              ,[SS.304]                      ,P
45,107229                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 50MM               ,[SS.304]                      ,P,2,24101208                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 50MM               ,ZINC PLATED [CL8.8]           ,B
49,107229                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 50MM               ,[SS.304]                      ,P,6,182637                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 50MM               ,[SS.316]                      ,P
