,item_jde,material_jde
331,360811,37725
332,165573,[SS.18-8]
1705,188796,.
2304,190928,.
2306,121097,.
2315,359832,HIT-Z-R;2149588
2343,24102428,.
2344,24101809,.
2346,24101409,.
2347,24102429,.
2349,24101780,.
2350,24101310,.
2351,24101899,.
2352,24101645,.
2353,24106242,.
2354,201549,.
2461,313468,"7001AW, NSK"
3873,181553,.
3874,184774,.
3903,188670,9512K63
3988,192455,460-10TB
4499,188290,11752-1 CLIPPARD
6208,70950041,M037-125 LAFCO
6309,361892,T B - S M - 5 X 4 5
6311,188158,04631-20381-71
6321,273731,BBM604
6419,188816,BHCSM8X20
6420,188810,BHCSM10X25
6421,188813,BHCSM5X20
6422,188814,BHCSM6X16
6423,188815,BHCSM6X25
6424,188817,BHCSM8X25
6500,188852,CB1/2-13-1250
6501,188854,CB3/8-16-0750SN
6502,188855,CB5/16-18-0750
6503,188857,CB5/16-18-1250SS
6504,188856,CB5/16-18-1250
6505,188858,CB5/16-18-1500
6506,188859,CB5/8-11-1500
6507,188860,CB5/8-11-1750
6508,188861,CB5/8-11-4000
6510,24102300,.
6511,201155,.
6512,24100957,.
6513,24101001,.
6514,114145,.
6515,24105870,.
6516,24105849,.
6517,24102587,tech
6518,24102248,.
6519,24103495,.
6520,24105122,.
6521,24101257,.
6522,24102155,.
6523,24102665,tech
6524,118901,.
6525,24106433,.
6526,24106451,.
7669,190015,"1.000 X 1.75 X 0.125"""
8623,24104659,315-744
8625,24100854,315-750
8663,188478,607-115
10485,191187,.
10486,188851,ZINC PLATED [GR.5] CB 1/2-13
10487,165333,ZINC PLATED [GR.5]
10488,184837,[SS.304]
10489,128281,ZINC PLATED [GR.5]
10490,162093,ZINC PLATED [GR.5]
10491,254202,[SS.304]
10492,185073,[SS.304]
10493,136774,ZINC PLATED [GR.5]
10494,170190,[SS.304]
10495,161863,ZINC PLATED [GR.5]
10496,161066,ZINC PLATED [GR.5]
10497,212360,ZINC PLATED [GR.5]
10498,222905,ZINC PLATED [GR.5]
10499,210295,[SS.18-8]
10500,209983,[SS.18-8]
10501,209982,ZINC PLATED [GR.5]
10502,210296,[SS.18-8]
10503,171277,ZINC PLATED [GR.5]
10504,224853,ZINC PLATED
10505,185495,[SS.304]
10506,161078,ZINC PLATED [GR.5]
